,,#,#,,,,#,#,#,,,,,,,,,,,#,,,,,,,,,,,,,,,,,#,#,,,,#,#,,,
,14161001,4,1,1,1,1,보조무기,프레어리 플루트,Item_Name_14161001,10104001,6,14000,20200,4,15,1,100,1,sub_weapon_0005,item_bg_grade_06,drop_sub_weapon_a,drop_item_sub_weapon,0,0,0,0,0,0,0,70,4601010,1,0,6004,2010,6001,0,1,1,1,1,14161001,프레어리 플루트,,,
#,14161002,4,2,1,1,1,보조무기,라이프가디언 플루트,Item_Name_14161002,10104001,6,14000,20200,4,15,1,100,1,sub_weapon_0005,item_bg_grade_06,drop_sub_weapon_a,drop_item_sub_weapon,0,0,0,0,0,0,0,70,4601010,1,0,6004,2010,6001,0,1,1,1,1,14161011,프레어리 플루트 2,,,
#,14161003,4,3,1,1,1,보조무기,이시스 플루트,Item_Name_14161003,10104001,6,14000,20200,4,15,1,100,1,sub_weapon_0005,item_bg_grade_06,drop_sub_weapon_a,drop_item_sub_weapon,0,0,0,0,0,0,0,70,4601010,1,0,6004,2010,6001,0,1,1,1,1,14161021,프레어리 플루트 3,,,
,11112001,1,1,1,2,1,머리,제노 헬멧,Item_Name_11112001,10101001,1,6000,20300,1,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,1102010,0,80101101,0,0,0,0,1,1,1,1,11112001,제노 헬멧,,,
,11112002,1,2,1,2,1,머리,매틱 헬멧,Item_Name_11112002,10101001,1,6000,20300,1,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,1102020,0,80101101,0,0,0,0,1,1,1,1,11112011,제노 헬멧 2,,,
,11112003,1,3,1,2,1,머리,제노 메탈 헬멧,Item_Name_11112003,10101001,1,6000,20300,1,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,1102030,0,80101101,0,0,0,0,1,1,1,1,11112021,제노 헬멧 3,,,
,11122001,1,1,1,2,1,머리,브리노 헬멧,Item_Name_11122001,10101001,2,6000,20300,1,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,1202010,0,80101201,6000,3002,2002,0,1,1,1,1,11122001,브리노 헬멧,,,
,11122002,1,2,1,2,1,머리,듀크 헬멧,Item_Name_11122002,10101001,2,6000,20300,1,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,1202020,0,80101201,6000,3002,2002,0,1,1,1,1,11122011,브리노 헬멧 2,,,
,11122003,1,3,1,2,1,머리,크림슨 나이트 헬멧,Item_Name_11122003,10101001,2,6000,20300,1,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,1202030,0,80101201,6000,3002,2002,0,1,1,1,1,11122021,브리노 헬멧 3,,,
,11132001,1,1,1,2,1,머리,메탈 헬멧,Item_Name_11132001,10101001,3,6000,20300,1,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,1302010,1,80101301,6001,3004,3002,0,1,1,1,1,11132001,메탈 헬멧,,,
,11132002,1,2,1,2,1,머리,파워메탈 헬멧,Item_Name_11132002,10101001,3,6000,20300,1,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,1302020,1,80101301,6001,3004,3002,0,1,1,1,1,11132011,메탈 헬멧 2,,,
,11132003,1,3,1,2,1,머리,테우르츠 헬멧,Item_Name_11132003,10101001,3,6000,20300,1,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,1302030,1,80101301,6001,3004,3002,0,1,1,1,1,11132021,메탈 헬멧 3,,,
,11142001,1,1,1,2,1,머리,블러드 헬멧,Item_Name_11142001,10101001,4,6000,20300,1,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,1402010,1,80101401,6002,3006,4002,0,1,1,1,1,11142001,블러드 헬멧,,,
,11142002,1,2,1,2,1,머리,파황 헬멧,Item_Name_11142002,10101001,4,6000,20300,1,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,1402020,1,80101401,6002,3006,4002,0,1,1,1,1,11142011,블러드 헬멧 2,,,
,11142003,1,3,1,2,1,머리,플래티늄 헬멧,Item_Name_11142003,10101001,4,6000,20300,1,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,1402030,1,80101401,6002,3006,4002,0,1,1,1,1,11142021,블러드 헬멧 3,,,
,11152001,1,1,1,2,1,머리,메르두크 헬멧,Item_Name_11152001,10101001,5,6000,20300,1,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,1502010,1,80101501,6003,3008,5002,0,1,1,1,1,11152001,메르두크 헬멧,,,
,11152002,1,2,1,2,1,머리,프란츠 헬멧,Item_Name_11152002,10101001,5,6000,20300,1,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,1502020,1,80101501,6003,3008,5002,0,1,1,1,1,11152011,메르두크 헬멧 2,,,
,11152003,1,3,1,2,1,머리,버닝 프란츠 헬멧,Item_Name_11152003,10101001,5,6000,20300,1,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,1502030,1,80101501,6003,3008,5002,0,1,1,1,1,11152021,메르두크 헬멧 3,,,
,11162001,1,1,1,2,1,머리,인페르니움 헬멧,Item_Name_11162001,10101001,6,6000,20300,1,15,1,100,1,head_0005,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,1602010,1,0,6004,3010,6002,0,1,1,1,1,11162001,인페르니움 헬멧,,,
#,11162002,1,2,1,2,1,머리,크리거 헬멧,Item_Name_11162002,10101001,6,6000,20300,1,15,1,100,1,head_0005,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,1602010,1,0,6004,3010,6002,0,1,1,1,1,11162011,인페르니움 헬멧 2,,,
#,11162003,1,3,1,2,1,머리,코닉플레임 헬멧,Item_Name_11162003,10101001,6,6000,20300,1,15,1,100,1,head_0005,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,1602010,1,0,6004,3010,6002,0,1,1,1,1,11162021,인페르니움 헬멧 3,,,
,12112001,2,1,1,2,1,머리,마린 바이저,Item_Name_12112001,10102001,1,6000,20300,2,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,2102010,0,80101101,0,0,0,0,1,1,1,1,12112001,마린 바이저,,,
,12112002,2,2,1,2,1,머리,인팬트리 바이저,Item_Name_12112002,10102001,1,6000,20300,2,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,2102020,0,80101101,0,0,0,0,1,1,1,1,12112011,마린 바이저 2,,,
,12112003,2,3,1,2,1,머리,스커미셔 바이저,Item_Name_12112003,10102001,1,6000,20300,2,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,2102030,0,80101101,0,0,0,0,1,1,1,1,12112021,마린 바이저 3,,,
,12122001,2,1,1,2,1,머리,스카우트 바이저,Item_Name_12122001,10102001,2,6000,20300,2,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,2202010,0,80101201,6000,3002,2002,0,1,1,1,1,12122001,스카우트 바이저,,,
,12122002,2,2,1,2,1,머리,불릿프루프 바이저,Item_Name_12122002,10102001,2,6000,20300,2,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,2202020,0,80101201,6000,3002,2002,0,1,1,1,1,12122011,스카우트 바이저 2,,,
,12122003,2,3,1,2,1,머리,코발트 나이트 바이저,Item_Name_12122003,10102001,2,6000,20300,2,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,2202030,0,80101201,6000,3002,2002,0,1,1,1,1,12122021,스카우트 바이저 3,,,
,12132001,2,1,1,2,1,머리,어썰트 바이저,Item_Name_12132001,10102001,3,6000,20300,2,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,2302010,1,80101301,6001,3004,3002,0,1,1,1,1,12132001,어썰트 바이저,,,
,12132002,2,2,1,2,1,머리,택티컬 바이저,Item_Name_12132002,10102001,3,6000,20300,2,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,2302020,1,80101301,6001,3004,3002,0,1,1,1,1,12132011,어썰트 바이저 2,,,
,12132003,2,3,1,2,1,머리,셀베이션 바이저,Item_Name_12132003,10102001,3,6000,20300,2,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,2302030,1,80101301,6001,3004,3002,0,1,1,1,1,12132021,어썰트 바이저 3,,,
,12142001,2,1,1,2,1,머리,바이오닉 바이저,Item_Name_12142001,10102001,4,6000,20300,2,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,2402010,1,80101401,6002,3006,4002,0,1,1,1,1,12142001,바이오닉 바이저,,,
,12142002,2,2,1,2,1,머리,아쿠아마린 바이저,Item_Name_12142002,10102001,4,6000,20300,2,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,2402020,1,80101401,6002,3006,4002,0,1,1,1,1,12142011,바이오닉 바이저 2,,,
,12142003,2,3,1,2,1,머리,팔라듐 바이저,Item_Name_12142003,10102001,4,6000,20300,2,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,2402030,1,80101401,6002,3006,4002,0,1,1,1,1,12142021,바이오닉 바이저 3,,,
,12152001,2,1,1,2,1,머리,하르세스 바이저,Item_Name_12152001,10102001,5,6000,20300,2,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,2502010,1,80101501,6003,3008,5002,0,1,1,1,1,12152001,하르세스 바이저,,,
,12152002,2,2,1,2,1,머리,파이어마린 바이저,Item_Name_12152002,10102001,5,6000,20300,2,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,2502020,1,80101501,6003,3008,5002,0,1,1,1,1,12152011,하르세스 바이저 2,,,
,12152003,2,3,1,2,1,머리,위하르 바이저,Item_Name_12152003,10102001,5,6000,20300,2,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,2502030,1,80101501,6003,3008,5002,0,1,1,1,1,12152021,하르세스 바이저 3,,,
,12162001,2,1,1,2,1,머리,아카트 바이저,Item_Name_12162001,10102001,6,6000,20300,2,15,1,100,1,head_0005,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,2602010,1,0,6004,3010,6002,0,1,1,1,1,12162001,아카트 바이저,,,
#,12162002,2,2,1,2,1,머리,뱅퀴쉬 바이저,Item_Name_12162002,10102001,6,6000,20300,2,15,1,100,1,head_0005,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,2602010,1,0,6004,3010,6002,0,1,1,1,1,12162011,아카트 바이저 2,,,
#,12162003,2,3,1,2,1,머리,이지스 바이저,Item_Name_12162003,10102001,6,6000,20300,2,15,1,100,1,head_0005,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,2602010,1,0,6004,3010,6002,0,1,1,1,1,12162021,아카트 바이저 3,,,
,13112001,3,1,1,2,1,머리,윈드스톰 후드,Item_Name_13112001,10103001,1,6000,20300,3,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,3102010,0,80101101,0,0,0,0,1,1,1,1,13112001,윈드스톰 후드,,,
,13112002,3,2,1,2,1,머리,마쉬 후드,Item_Name_13112002,10103001,1,6000,20300,3,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,3102020,0,80101101,0,0,0,0,1,1,1,1,13112011,윈드스톰 후드 2,,,
,13112003,3,3,1,2,1,머리,마그네틱 후드,Item_Name_13112003,10103001,1,6000,20300,3,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,3102030,0,80101101,0,0,0,0,1,1,1,1,13112021,윈드스톰 후드 3,,,
,13122001,3,1,1,2,1,머리,클라우드 후드,Item_Name_13122001,10103001,2,6000,20300,3,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,3202010,0,80101201,6000,3002,2002,0,1,1,1,1,13122001,클라우드 후드,,,
,13122002,3,2,1,2,1,머리,플레임 후드,Item_Name_13122002,10103001,2,6000,20300,3,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,3202020,0,80101201,6000,3002,2002,0,1,1,1,1,13122011,클라우드 후드 2,,,
,13122003,3,3,1,2,1,머리,오레올린 나이트 후드,Item_Name_13122003,10103001,2,6000,20300,3,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,3202030,0,80101201,6000,3002,2002,0,1,1,1,1,13122021,클라우드 후드 3,,,
,13132001,3,1,1,2,1,머리,사일런스 후드,Item_Name_13132001,10103001,3,6000,20300,3,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,3302010,1,80101301,6001,3004,3002,0,1,1,1,1,13132001,사일런스 후드,,,
,13132002,3,2,1,2,1,머리,블리자드 후드,Item_Name_13132002,10103001,3,6000,20300,3,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,3302020,1,80101301,6001,3004,3002,0,1,1,1,1,13132011,사일런스 후드 2,,,
,13132003,3,3,1,2,1,머리,스펠 후드,Item_Name_13132003,10103001,3,6000,20300,3,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,3302030,1,80101301,6001,3004,3002,0,1,1,1,1,13132021,사일런스 후드 3,,,
,13142001,3,1,1,2,1,머리,소울 후드,Item_Name_13142001,10103001,4,6000,20300,3,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,3402010,1,80101401,6002,3006,4002,0,1,1,1,1,13142001,소울 후드,,,
,13142002,3,2,1,2,1,머리,스타라이트 후드,Item_Name_13142002,10103001,4,6000,20300,3,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,3402020,1,80101401,6002,3006,4002,0,1,1,1,1,13142011,소울 후드 2,,,
,13142003,3,3,1,2,1,머리,이리듐 후드,Item_Name_13142003,10103001,4,6000,20300,3,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,3402030,1,80101401,6002,3006,4002,0,1,1,1,1,13142021,소울 후드 3,,,
,13152001,3,1,1,2,1,머리,루크 후드,Item_Name_13152001,10103001,5,6000,20300,3,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,3502010,1,80101501,6003,3008,5002,0,1,1,1,1,13152001,루크 후드,,,
,13152002,3,2,1,2,1,머리,미스틱 루크 후드,Item_Name_13152002,10103001,5,6000,20300,3,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,3502020,1,80101501,6003,3008,5002,0,1,1,1,1,13152011,루크 후드 2,,,
,13152003,3,3,1,2,1,머리,마그마 후드,Item_Name_13152003,10103001,5,6000,20300,3,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,3502030,1,80101501,6003,3008,5002,0,1,1,1,1,13152021,루크 후드 3,,,
,13162001,3,1,1,2,1,머리,컨쥬어 후드,Item_Name_13162001,10103001,6,6000,20300,3,15,1,100,1,head_0004,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,3602010,1,0,6004,3010,6002,0,1,1,1,1,13162001,컨쥬어 후드,,,
#,13162002,3,2,1,2,1,머리,블레이즈 후드,Item_Name_13162002,10103001,6,6000,20300,3,15,1,100,1,head_0004,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,3602010,1,0,6004,3010,6002,0,1,1,1,1,13162011,컨쥬어 후드 2,,,
#,13162003,3,3,1,2,1,머리,마나인플런스 후드,Item_Name_13162003,10103001,6,6000,20300,3,15,1,100,1,head_0004,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,3602010,1,0,6004,3010,6002,0,1,1,1,1,13162021,컨쥬어 후드 3,,,
,14112001,4,1,1,2,1,머리,자비 캡,Item_Name_14112001,10104001,1,6000,20300,4,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,4102010,0,80101101,0,0,0,0,1,1,1,1,14112001,자비 캡,,,
,14112002,4,2,1,2,1,머리,호프 캡,Item_Name_14112002,10104001,1,6000,20300,4,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,4102020,0,80101101,0,0,0,0,1,1,1,1,14112011,자비 캡 2,,,
,14112003,4,3,1,2,1,머리,크리스탈 캡,Item_Name_14112003,10104001,1,6000,20300,4,15,1,100,1,head_0001,item_bg_grade_01,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,10,4102030,0,80101101,0,0,0,0,1,1,1,1,14112021,자비 캡 3,,,
,14122001,4,1,1,2,1,머리,풍요 캡,Item_Name_14122001,10104001,2,6000,20300,4,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,4202010,0,80101201,6000,3002,2002,0,1,1,1,1,14122001,풍요 캡,,,
,14122002,4,2,1,2,1,머리,섀도우 캡,Item_Name_14122002,10104001,2,6000,20300,4,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,4202020,0,80101201,6000,3002,2002,0,1,1,1,1,14122011,풍요 캡 2,,,
,14122003,4,3,1,2,1,머리,프러시안 나이트 캡,Item_Name_14122003,10104001,2,6000,20300,4,15,1,100,1,head_0002,item_bg_grade_02,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,20,4202030,0,80101201,6000,3002,2002,0,1,1,1,1,14122021,풍요 캡 3,,,
,14132001,4,1,1,2,1,머리,블리스 캡,Item_Name_14132001,10104001,3,6000,20300,4,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,4302010,1,80101301,6001,3004,3002,0,1,1,1,1,14132001,블리스 캡,,,
,14132002,4,2,1,2,1,머리,패션 캡,Item_Name_14132002,10104001,3,6000,20300,4,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,4302020,1,80101301,6001,3004,3002,0,1,1,1,1,14132011,블리스 캡 2,,,
,14132003,4,3,1,2,1,머리,오로라 캡,Item_Name_14132003,10104001,3,6000,20300,4,15,1,100,1,head_0003,item_bg_grade_03,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,30,4302030,1,80101301,6001,3004,3002,0,1,1,1,1,14132021,블리스 캡 3,,,
,14142001,4,1,1,2,1,머리,레오파드 캡,Item_Name_14142001,10104001,4,6000,20300,4,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,4402010,1,80101401,6002,3006,4002,0,1,1,1,1,14142001,레오파드 캡,,,
,14142002,4,2,1,2,1,머리,세인트 캡,Item_Name_14142002,10104001,4,6000,20300,4,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,4402020,1,80101401,6002,3006,4002,0,1,1,1,1,14142011,레오파드 캡 2,,,
,14142003,4,3,1,2,1,머리,퓨어 캡,Item_Name_14142003,10104001,4,6000,20300,4,15,1,100,1,head_0004,item_bg_grade_04,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,40,4402030,1,80101401,6002,3006,4002,0,1,1,1,1,14142021,레오파드 캡 3,,,
,14152001,4,1,1,2,1,머리,이글 캡,Item_Name_14152001,10104001,5,6000,20300,4,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,4502010,1,80101501,6003,3008,5002,0,1,1,1,1,14152001,이글 캡,,,
,14152002,4,2,1,2,1,머리,선샤인 캡,Item_Name_14152002,10104001,5,6000,20300,4,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,4502020,1,80101501,6003,3008,5002,0,1,1,1,1,14152011,이글 캡 2,,,
,14152003,4,3,1,2,1,머리,로듐 캡,Item_Name_14152003,10104001,5,6000,20300,4,15,1,100,1,head_0005,item_bg_grade_05,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,50,4502030,1,80101501,6003,3008,5002,0,1,1,1,1,14152021,이글 캡 3,,,
,14162001,4,1,1,2,1,머리,프레어리 캡,Item_Name_14162001,10104001,6,6000,20300,4,15,1,100,1,head_0005,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,4602010,1,0,6004,3010,6002,0,1,1,1,1,14162001,프레어리 캡,,,
#,14162002,4,2,1,2,1,머리,이시스 캡,Item_Name_14162002,10104001,6,6000,20300,4,15,1,100,1,head_0005,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,4602010,1,0,6004,3010,6002,0,1,1,1,1,14162011,프레어리 캡 2,,,
#,14162003,4,3,1,2,1,머리,라이프가디언 캡,Item_Name_14162003,10104001,6,6000,20300,4,15,1,100,1,head_0005,item_bg_grade_06,drop_armor_head,drop_item_armor,0,0,0,0,0,0,0,70,4602010,1,0,6004,3010,6002,0,1,1,1,1,14162021,프레어리 캡 3,,,
,11113001,1,1,1,3,1,상의,제노 아머,Item_Name_11113001,10101001,1,10000,20400,1,15,1,100,1,upper_0001,item_bg_grade_01,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,10,1103010,0,80101101,0,0,0,0,1,1,1,1,11113001,제노 아머,,,
,11113002,1,2,1,3,1,상의,매틱 아머,Item_Name_11113002,10101001,1,10000,20400,1,15,1,100,1,upper_0001,item_bg_grade_01,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,10,1103020,0,80101101,0,0,0,0,1,1,1,1,11113011,제노 아머 2,,,
,11113003,1,3,1,3,1,상의,제노 메탈 아머,Item_Name_11113003,10101001,1,10000,20400,1,15,1,100,1,upper_0001,item_bg_grade_01,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,10,1103030,0,80101101,0,0,0,0,1,1,1,1,11113021,제노 아머 3,,,
,11123001,1,1,1,3,1,상의,브리노 아머,Item_Name_11123001,10101001,2,10000,20400,1,15,1,100,1,upper_0002,item_bg_grade_02,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,20,1203010,0,80101201,6000,3001,2003,0,1,1,1,1,11123001,브리노 아머,,,
,11123002,1,2,1,3,1,상의,듀크 아머,Item_Name_11123002,10101001,2,10000,20400,1,15,1,100,1,upper_0002,item_bg_grade_02,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,20,1203020,0,80101201,6000,3001,2003,0,1,1,1,1,11123011,브리노 아머 2,,,
,11123003,1,3,1,3,1,상의,크림슨 나이트 아머,Item_Name_11123003,10101001,2,10000,20400,1,15,1,100,1,upper_0002,item_bg_grade_02,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,20,1203030,0,80101201,6000,3001,2003,0,1,1,1,1,11123021,브리노 아머 3,,,
,11133001,1,1,1,3,1,상의,메탈 아머,Item_Name_11133001,10101001,3,10000,20400,1,15,1,100,1,upper_0003,item_bg_grade_03,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,30,1303010,1,80101301,6001,3003,3003,0,1,1,1,1,11133001,메탈 아머,,,
,11133002,1,2,1,3,1,상의,파워메탈 아머,Item_Name_11133002,10101001,3,10000,20400,1,15,1,100,1,upper_0003,item_bg_grade_03,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,30,1303020,1,80101301,6001,3003,3003,0,1,1,1,1,11133011,메탈 아머 2,,,
,11133003,1,3,1,3,1,상의,테우르츠 아머,Item_Name_11133003,10101001,3,10000,20400,1,15,1,100,1,upper_0003,item_bg_grade_03,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,30,1303030,1,80101301,6001,3003,3003,0,1,1,1,1,11133021,메탈 아머 3,,,
,11143001,1,1,1,3,1,상의,블러드 아머,Item_Name_11143001,10101001,4,10000,20400,1,15,1,100,1,upper_0004,item_bg_grade_04,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,40,1403010,1,80101401,6002,3005,4003,0,1,1,1,1,11143001,블러드 아머,,,
,11143002,1,2,1,3,1,상의,파황 아머,Item_Name_11143002,10101001,4,10000,20400,1,15,1,100,1,upper_0004,item_bg_grade_04,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,40,1403020,1,80101401,6002,3005,4003,0,1,1,1,1,11143011,블러드 아머 2,,,
,11143003,1,3,1,3,1,상의,플래티늄 아머,Item_Name_11143003,10101001,4,10000,20400,1,15,1,100,1,upper_0004,item_bg_grade_04,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,40,1403030,1,80101401,6002,3005,4003,0,1,1,1,1,11143021,블러드 아머 3,,,
,11153001,1,1,1,3,1,상의,메르두크 아머,Item_Name_11153001,10101001,5,10000,20400,1,15,1,100,1,upper_0005,item_bg_grade_05,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,50,1503010,1,80101501,6003,3007,5003,0,1,1,1,1,11153001,메르두크 아머,,,
,11153002,1,2,1,3,1,상의,프란츠 아머,Item_Name_11153002,10101001,5,10000,20400,1,15,1,100,1,upper_0005,item_bg_grade_05,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,50,1503020,1,80101501,6003,3007,5003,0,1,1,1,1,11153011,메르두크 아머 2,,,
,11153003,1,3,1,3,1,상의,버닝 프란츠 아머,Item_Name_11153003,10101001,5,10000,20400,1,15,1,100,1,upper_0005,item_bg_grade_05,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,50,1503030,1,80101501,6003,3007,5003,0,1,1,1,1,11153021,메르두크 아머 3,,,
,11163001,1,1,1,3,1,상의,인페르니움 아머,Item_Name_11163001,10101001,6,10000,20400,1,15,1,100,1,upper_0005,item_bg_grade_06,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,70,1603010,1,0,6004,3009,6003,0,1,1,1,1,11163001,인페르니움 아머,,,
#,11163002,1,2,1,3,1,상의,크리거 아머,Item_Name_11163002,10101001,6,10000,20400,1,15,1,100,1,upper_0005,item_bg_grade_06,drop_armor_upper,drop_item_armor,0,0,0,0,0,0,0,70,1603010,1,0,6004,3009,6003,0,1,1,1,1,11163011,인페르니움 아머 2,,,
