,,#,#,#,#,#,,,,,,#,#,#,#, ,,,,,,,,,,,,,,,,,,,,,,#,#,#,#,#,,,#,#,,#,#,#,#,#
,23600122,122,Item_Name_23600122,휴먼 스킬북-홀리 매트릭스 아머,Item_Desc_23600122,휴먼-패시브 스킬 [조작술] 습득 및 강화 가능,3,36,2,3,1,X,O,X,X,0,0,10102001,0,0,0,0,100,1000,1,10,1,0,0,21000,2,1,skill_passive_1031,drop_item_receiver,drop_item_aid,2,1101,Item_Name_23600122,휴먼 스킬북-홀리 매트릭스 아머,Item_Desc_23600122,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 휴먼 패시브 스킬 [홀리 매트릭스 아머] 습득 및 강화를 할 수 있습니다.,1,0,1,h_f_skill_passive_1031,skill_passive_1031,,스킬북,가능,가능,불가,가능
,23600123,123,Item_Name_23600123,휴먼 스킬북-라이플 엑스퍼트,Item_Desc_23600123,휴먼-패시브 스킬 [재장전] 습득 및 강화 가능,3,36,2,3,1,X,O,X,X,0,0,10102001,0,0,0,0,100,1000,1,10,1,0,0,21000,2,1,skill_passive_1041,drop_item_receiver,drop_item_aid,2,1101,Item_Name_23600123,휴먼 스킬북-라이플 엑스퍼트,Item_Desc_23600123,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 휴먼 패시브 스킬 [라이플 엑스퍼트] 습득 및 강화를 할 수 있습니다.,1,0,1,h_f_skill_passive_1041,skill_passive_1041,,스킬북,가능,가능,불가,가능
,23600124,124,Item_Name_23600124,휴먼 스킬북-조작술,Item_Desc_23600124,휴먼-패시브 스킬 [매트릭스 아머] 습득 및 강화 가능,3,36,2,4,1,X,O,X,X,0,0,10102001,0,0,0,0,100,1000,1,10,1,0,0,21000,2,1,skill_passive_1051,drop_item_receiver,drop_item_aid,2,1101,Item_Name_23600124,휴먼 스킬북-조작술,Item_Desc_23600124,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 휴먼 패시브 스킬 [조작술] 습득 및 강화를 할 수 있습니다.,1,0,1,h_f_skill_passive_1051,skill_passive_1051,,스킬북,가능,가능,불가,가능
,23600125,125,Item_Name_23600125,휴먼 스킬북-재장전,Item_Desc_23600125,휴먼-패시브 스킬 [홀리 매트릭스 아머] 습득 및 강화 가능,3,36,2,4,1,X,O,X,X,0,0,10102001,0,0,0,0,100,1000,1,10,1,0,0,21000,2,1,skill_passive_1061,drop_item_receiver,drop_item_aid,2,1101,Item_Name_23600125,휴먼 스킬북-재장전,Item_Desc_23600125,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 휴먼 패시브 스킬 [재장전] 습득 및 강화를 할 수 있습니다.,1,0,1,h_f_skill_passive_1061,skill_passive_1061,,스킬북,가능,가능,불가,가능
,23600201,201,Item_Name_23600201,카이립톤 스킬북-파이어 볼트,Item_Desc_23600201,없음,3,36,2,1,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,0,skill_active_1011,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600201,카이립톤 스킬북-파이어 볼트,Item_Desc_23600201,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [파이어 볼트] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1011,skill_active_1011,,스킬북,가능,가능,불가,가능
,23600202,202,Item_Name_23600202,카이립톤 스킬북-아이스 볼트,Item_Desc_23600202,없음,3,36,2,1,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1021,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600202,카이립톤 스킬북-아이스 볼트,Item_Desc_23600202,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [아이스 볼트] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1021,skill_active_1021,,스킬북,가능,가능,불가,가능
,23600203,203,Item_Name_23600203,카이립톤 스킬북-패블샷,Item_Desc_23600203,없음,3,36,2,2,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1031,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600203,카이립톤 스킬북-패블샷,Item_Desc_23600203,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [패블샷] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1031,skill_active_1031,,스킬북,가능,가능,불가,가능
,23600204,204,Item_Name_23600204,카이립톤 스킬북-파이어 볼,Item_Desc_23600204,없음,3,36,2,2,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1012,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600204,카이립톤 스킬북-파이어 볼,Item_Desc_23600204,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [파이어 볼] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1091,skill_active_1091,,스킬북,가능,가능,불가,가능
,23600205,205,Item_Name_23600205,카이립톤 스킬북-낙석,Item_Desc_23600205,없음,3,36,2,2,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1041,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600205,카이립톤 스킬북-낙석,Item_Desc_23600205,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [낙석] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1041,skill_active_1041,,스킬북,가능,가능,불가,가능
,23600206,206,Item_Name_23600206,카이립톤 스킬북-아이스 볼,Item_Desc_23600206,없음,3,36,2,3,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1022,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600206,카이립톤 스킬북-아이스 볼,Item_Desc_23600206,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [아이스 볼] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1101,skill_active_1101,,스킬북,가능,가능,불가,가능
,23600207,207,Item_Name_23600207,카이립톤 스킬북-토네이도 루인,Item_Desc_23600207,없음,3,36,2,3,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1051,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600207,카이립톤 스킬북-토네이도 루인,Item_Desc_23600207,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [토네이도 루인] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1051,skill_active_1051,,스킬북,가능,가능,불가,가능
,23600208,208,Item_Name_23600208,카이립톤 스킬북-뱀파이어 터치,Item_Desc_23600208,없음,3,36,2,3,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1081,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600208,카이립톤 스킬북-뱀파이어 터치,Item_Desc_23600208,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [뱀파이어 터치] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1081,skill_active_1081,,스킬북,가능,가능,불가,가능
,23600209,209,Item_Name_23600209,카이립톤 스킬북-프로즌 필드,Item_Desc_23600209,없음,3,36,2,4,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1071,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600209,카이립톤 스킬북-프로즌 필드,Item_Desc_23600209,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [프로즌 필드] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1071,skill_active_1071,,스킬북,가능,가능,불가,가능
,23600210,210,Item_Name_23600210,카이립톤 스킬북-불기둥,Item_Desc_23600210,없음,3,36,2,4,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1061,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600210,카이립톤 스킬북-불기둥,Item_Desc_23600210,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [불기둥] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1061,skill_active_1061,,스킬북,가능,가능,불가,가능
,23600211,211,Item_Name_23600211,카이립톤 스킬북-윈드 컷,Item_Desc_23600211,없음,3,36,2,4,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_active_1092,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600211,카이립톤 스킬북-윈드 컷,Item_Desc_23600211,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [윈드 컷] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_active_1091,skill_active_1091,,스킬북,가능,가능,불가,가능
,23600212,212,Item_Name_23600212,카이립톤 스킬북-윈드 배리어,Item_Desc_23600212,없음,3,36,2,4,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_buff_1031,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600212,카이립톤 스킬북-윈드 배리어,Item_Desc_23600212,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [윈드 배리어] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_buff_1031,skill_buff_1031,,스킬북,가능,가능,불가,가능
,23600213,213,Item_Name_23600213,카이립톤 스킬북-사념의 폭풍,Item_Desc_23600213,없음,3,36,2,1,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_buff_1041,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600213,카이립톤 스킬북-사념의 폭풍,Item_Desc_23600213,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [사념의 폭풍] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_buff_1041,skill_buff_1041,,스킬북,가능,가능,불가,가능
,23600214,214,Item_Name_23600214,카이립톤 스킬북-마나 재생,Item_Desc_23600214,없음,3,36,2,2,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_buff_1011,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600214,카이립톤 스킬북-마나 재생,Item_Desc_23600214,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [마나 재생] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_buff_1011,skill_buff_1011,,스킬북,가능,가능,불가,가능
,23600215,215,Item_Name_23600215,카이립톤 스킬북-속성저항,Item_Desc_23600215,없음,3,36,2,3,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_buff_1021,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600215,카이립톤 스킬북-속성저항,Item_Desc_23600215,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [속성저항] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_buff_1021,skill_buff_1021,,스킬북,가능,가능,불가,가능
,23600216,216,Item_Name_23600216,카이립톤 스킬북-마법 이전,Item_Desc_23600216,없음,3,36,2,3,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_buff_1051,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600216,카이립톤 스킬북-마법 이전,Item_Desc_23600216,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [마법 이전] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_buff_1051,skill_buff_1051,,스킬북,가능,가능,불가,가능
,23600217,217,Item_Name_23600217,카이립톤 스킬북-마나 증가,Item_Desc_23600217,없음,3,36,3,2,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,0,skill_buff_1001,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600217,카이립톤 스킬북-마나 증가,Item_Desc_23600217,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [마나 증가] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_buff_1001,skill_buff_1001,,스킬북,가능,가능,불가,가능
,23600218,218,Item_Name_23600218,카이립톤 스킬북-엘리멘털 속성 강화,Item_Desc_23600218,없음,3,36,3,3,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,0,skill_buff_1002,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600218,카이립톤 스킬북-엘리멘털 속성 강화,Item_Desc_23600218,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [엘리멘털 속성 강화] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_buff_1002,skill_buff_1002,,스킬북,가능,가능,불가,가능
,23600219,219,Item_Name_23600219,카이립톤 스킬북-집중,Item_Desc_23600219,없음,3,36,3,4,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,0,skill_buff_1003,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600219,카이립톤 스킬북-집중,Item_Desc_23600219,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 액티브 스킬 [집중] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_buff_1003,skill_buff_1003,,스킬북,가능,가능,불가,가능
,23600220,220,Item_Name_23600220,카이립톤 스킬북-위자드리 아머,Item_Desc_23600220,카이립톤-패시브 스킬 [스태프 마스터] 습득 및 강화 가능,3,36,3,2,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_passive_1011,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600220,카이립톤 스킬북-위자드리 아머,Item_Desc_23600220,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 패시브 스킬 [위자드리 아머] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_passive_1011,skill_passive_1011,,스킬북,가능,가능,불가,가능
,23600221,221,Item_Name_23600221,카이립톤 스킬북-스태프 마스터,Item_Desc_23600221,카이립톤-패시브 스킬 [교란] 습득 및 강화 가능,3,36,3,2,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_passive_1021,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600221,카이립톤 스킬북-스태프 마스터,Item_Desc_23600221,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 패시브 스킬 [스태프 마스터] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_passive_1021,skill_passive_1021,,스킬북,가능,가능,불가,가능
,23600222,222,Item_Name_23600222,카이립톤 스킬북-교란,Item_Desc_23600222,카이립톤-패시브 스킬 [컨퓨전] 습득 및 강화 가능,3,36,3,3,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_passive_1031,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600222,카이립톤 스킬북-교란,Item_Desc_23600222,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 패시브 스킬 [교란] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_passive_1031,skill_passive_1031,,스킬북,가능,가능,불가,가능
,23600223,223,Item_Name_23600223,카이립톤 스킬북-컨퓨전,Item_Desc_23600223,카이립톤-패시브 스킬 [스펠 마스터] 습득 및 강화 가능,3,36,3,3,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_passive_1041,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600223,카이립톤 스킬북-컨퓨전,Item_Desc_23600223,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 패시브 스킬 [컨퓨전] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_passive_1041,skill_passive_1041,,스킬북,가능,가능,불가,가능
,23600224,224,Item_Name_23600224,카이립톤 스킬북-스펠 마스터,Item_Desc_23600224,카이립톤-패시브 스킬 [마법 해석] 습득 및 강화 가능,3,36,3,4,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_passive_1051,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600224,카이립톤 스킬북-스펠 마스터,Item_Desc_23600224,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 패시브 스킬 [스펠 마스터] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_passive_1051,skill_passive_1051,,스킬북,가능,가능,불가,가능
,23600225,225,Item_Name_23600225,카이립톤 스킬북-마법 해석,Item_Desc_23600225,카이립톤-패시브 스킬 [위자드리 아머] 습득 및 강화 가능,3,36,3,4,1,X,X,O,X,0,0,10103001,0,0,0,0,100,1000,1,10,1,0,0,21000,3,1,skill_passive_1061,drop_item_receiver,drop_item_aid,4,1101,Item_Name_23600225,카이립톤 스킬북-마법 해석,Item_Desc_23600225,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 카이립톤 패시브 스킬 [마법 해석] 습득 및 강화를 할 수 있습니다.,1,0,1,k_m_skill_passive_1061,skill_passive_1061,,스킬북,가능,가능,불가,가능
,23600301,301,Item_Name_23600301,에이디아 스킬북-플라워 봄,Item_Desc_23600301,없음,3,36,3,1,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_active_1011,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600301,에이디아 스킬북-플라워 봄,Item_Desc_23600301,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [플라워 봄] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1011,skill_active_1011,,스킬북,가능,가능,불가,가능
,23600302,302,Item_Name_23600302,에이디아 스킬북-광합성,Item_Desc_23600302,없음,3,36,3,1,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,0,skill_buff_1011,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600302,에이디아 스킬북-광합성,Item_Desc_23600302,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [광합성] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1071,skill_active_1071,,스킬북,가능,가능,불가,가능
,23600303,303,Item_Name_23600303,에이디아 스킬북-소환술,Item_Desc_23600303,없음,3,36,3,1,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,0,skill_active_1021,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600303,에이디아 스킬북-소환술,Item_Desc_23600303,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [소환술] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1021,skill_active_1021,,스킬북,가능,가능,불가,가능
,23600304,304,Item_Name_23600304,에이디아 스킬북-플라워 밴딩,Item_Desc_23600304,없음,3,36,3,2,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,0,skill_active_1031,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600304,에이디아 스킬북-플라워 밴딩,Item_Desc_23600304,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [플라워 밴딩] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1031,skill_active_1031,,스킬북,가능,가능,불가,가능
,23600305,305,Item_Name_23600305,에이디아 스킬북-플라워힐,Item_Desc_23600305,없음,3,36,3,2,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,0,skill_buff_1012,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600305,에이디아 스킬북-플라워힐,Item_Desc_23600305,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [플라워힐] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1081,skill_active_1081,,스킬북,가능,가능,불가,가능
,23600306,306,Item_Name_23600306,에이디아 스킬북-플라워 버닝,Item_Desc_23600306,없음,3,36,3,2,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,0,skill_active_1032,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600306,에이디아 스킬북-플라워 버닝,Item_Desc_23600306,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [플라워 버닝] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1091,skill_active_1091,,스킬북,가능,가능,불가,가능
,23600307,307,Item_Name_23600307,에이디아 스킬북-플라워 그레네이드,Item_Desc_23600307,없음,3,36,3,3,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_active_1012,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600307,에이디아 스킬북-플라워 그레네이드,Item_Desc_23600307,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [플라워 그레네이드] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1061,skill_active_1061,,스킬북,가능,가능,불가,가능
,23600308,308,Item_Name_23600308,에이디아 스킬북-수호의 음계,Item_Desc_23600308,없음,3,36,3,3,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_buff_1041,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600308,에이디아 스킬북-수호의 음계,Item_Desc_23600308,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [수호의 음계] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_buff_1041,skill_buff_1041,,스킬북,가능,가능,불가,가능
,23600309,309,Item_Name_23600309,에이디아 스킬북-테누토,Item_Desc_23600309,없음,3,36,3,3,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_active_1061,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600309,에이디아 스킬북-테누토,Item_Desc_23600309,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [테누토] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1101,skill_active_1101,,스킬북,가능,가능,불가,가능
,23600310,310,Item_Name_23600310,에이디아 스킬북-스타카토,Item_Desc_23600310,없음,3,36,3,4,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_active_1051,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600310,에이디아 스킬북-스타카토,Item_Desc_23600310,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [스타카토] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1051,skill_active_1051,,스킬북,가능,가능,불가,가능
,23600311,311,Item_Name_23600311,에이디아 스킬북-대지의 축복,Item_Desc_23600311,없음,3,36,3,4,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_active_1041,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600311,에이디아 스킬북-대지의 축복,Item_Desc_23600311,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [대지의 축복] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_active_1041,skill_active_1041,,스킬북,가능,가능,불가,가능
,23600312,312,Item_Name_23600312,에이디아 스킬북-보호의 음계,Item_Desc_23600312,없음,3,36,3,4,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_buff_1061,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600312,에이디아 스킬북-보호의 음계,Item_Desc_23600312,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [보호의 음계] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_buff_1061,skill_buff_1061,,스킬북,가능,가능,불가,가능
,23600313,313,Item_Name_23600313,에이디아 스킬북-리커버리,Item_Desc_23600313,없음,3,36,3,4,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_buff_1022,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600313,에이디아 스킬북-리커버리,Item_Desc_23600313,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [리커버리] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_buff_1071,skill_buff_1071,,스킬북,가능,가능,불가,가능
,23600314,314,Item_Name_23600314,에이디아 스킬북-마나 리커버리,Item_Desc_23600314,없음,3,36,3,2,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_buff_1021,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600314,에이디아 스킬북-마나 리커버리,Item_Desc_23600314,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [마나 리커버리] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_buff_1021,skill_buff_1021,,스킬북,가능,가능,불가,가능
,23600315,315,Item_Name_23600315,에이디아 스킬북-투지의 음계,Item_Desc_23600315,없음,3,36,3,3,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_buff_1031,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600315,에이디아 스킬북-투지의 음계,Item_Desc_23600315,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [투지의 음계] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_buff_1031,skill_buff_1031,,스킬북,가능,가능,불가,가능
,23600316,316,Item_Name_23600316,에이디아 스킬북-라이프 익스펜션,Item_Desc_23600316,없음,3,36,3,3,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_buff_1051,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600316,에이디아 스킬북-라이프 익스펜션,Item_Desc_23600316,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [라이프 익스펜션] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_buff_1051,skill_buff_1051,,스킬북,가능,가능,불가,가능
,23600317,317,Item_Name_23600317,에이디아 스킬북-알레그로,Item_Desc_23600317,없음,3,36,3,2,1,X,X,X,O,0,0,10104001,0,0,0,0,100,1000,1,10,1,0,0,21000,4,1,skill_buff_1001,drop_item_receiver,drop_item_aid,8,1101,Item_Name_23600317,에이디아 스킬북-알레그로,Item_Desc_23600317,새로운 스킬을 얻을 수 있는 귀한 고서.<br>사용 시 에이디아 액티브 스킬 [알레그로] 습득 및 강화를 할 수 있습니다.,1,0,1,a_f_skill_buff_1001,skill_buff_1001,,스킬북,가능,가능,불가,가능
